场景大类,场景小类,场景子类
存款,存款业务办理,存款计息管理
贷款,贷款业务办理,贷款
贷款,贷款业务办理,“三贷”贷款
贷款,贷款业务办理,银团贷款
贷款,贷款业务办理,房地产开发贷款
贷款,贷款业务办理,对外劳务承包贷款
,,应收帐款收购
贷款,贷款业务办理,出口退税帐户托管贷款
,,新型融资产品
,,项目融资
,,BOT项目融资
票据,贴现,票据贴现
国际结算,,福费庭
贷款,贷款业务办理,授信
贷款,贷款业务办理,统一授信
贷款,贷款业务办理,全球授信额度
贷款,贷款业务办理,贷款担保
贷款,贷款业务办理,保证
贷款,贷款业务办理,抵押担保
贷款,贷款业务办理,质押担保
贷款,贷款业务办理,贷款审批程序
贷款,贷款业务办理,贷后管理
贷款,贷款业务办理,贷后检查
国际结算,保理,国际保理
国际结算,保理,国内保理
国际结算,信用证,国内信用证
票据,承兑汇票,银行汇票
票据,承兑汇票,银行本票
,,支票
,,汇兑
,,托收承付
,,委托收款
国际业务,,国外汇入汇款
国际业务,,汇出国外汇款
国际业务,,光票托收
国际业务,,进口信用证
国际业务,,进口代收
国际业务,,进口押汇
国际业务,,提货担保
国际业务,,出口信用证
国际业务,,出口托收
国际业务,,出口贴现
国际业务,,出口押汇
贷款,贸易融资贷款,打包贷款
,保函,保函
,保函,投标保函
,保函,履约保函
,保函,预付款保函
,保函,预留金保函
,保函,质量保函
,保函,关税保函
,保函,付款保函
,保函,融资保函
,保函,租赁保函
,保函,补偿贸易保函
国际业务,,即期外汇买卖
国际业务,,远期外汇买卖
国际业务,,择期外汇买卖
国际业务,,掉期外汇买卖
国际业务,,外汇期权
国际业务,,利率掉期
国际业务,,货币掉期
国际业务,,掉期期权
国际业务,,利率期权
国际业务,,人民币远期结售汇
